Intensity,E4,Composition,Points:0,Points:1,Points:2
1.0451,1.1933,0,-0.10379,-0.39177,-0.50142
1.0383,1.1622,0,-0.10379,-0.38394,-0.50142
1.0307,1.1286,0,-0.10379,-0.3761,-0.50142
1.0225,1.0933,0,-0.10379,-0.36827,-0.50142
1.0139,1.057,0,-0.10379,-0.36043,-0.50142
1.005,1.0203,0,-0.10379,-0.3526,-0.50142
0.9958,0.98357,0,-0.10379,-0.34477,-0.50142
0.98644,0.94717,0,-0.10379,-0.33693,-0.50142
0.97696,0.9113,0,-0.10379,-0.3291,-0.50142
0.96737,0.87609,0,-0.10379,-0.32126,-0.50142
0.95771,0.84165,0,-0.10379,-0.31343,-0.50142
0.94798,0.808,0,-0.10379,-0.3056,-0.50142
0.93818,0.77516,0,-0.10379,-0.29776,-0.50142
0.92832,0.74312,0,-0.10379,-0.28993,-0.50142
0.91838,0.71184,0,-0.10379,-0.28209,-0.50142
0.90835,0.68131,0,-0.10379,-0.27426,-0.50142
0.89823,0.65149,0,-0.10379,-0.26643,-0.50142
0.88801,0.62237,0,-0.10379,-0.25859,-0.50142
0.87768,0.59394,0,-0.10379,-0.25076,-0.50142
0.86724,0.56622,0,-0.10379,-0.24292,-0.50142
0.85671,0.53923,0,-0.10379,-0.23509,-0.50142
0.84609,0.51302,0,-0.10379,-0.22725,-0.50142
0.83541,0.48763,0,-0.10379,-0.21942,-0.50142
0.82471,0.46313,0,-0.10379,-0.21159,-0.50142
0.81402,0.43961,0,-0.10379,-0.20375,-0.50142
0.80341,0.41713,0,-0.10379,-0.19592,-0.50142
0.79293,0.39579,0,-0.10379,-0.18808,-0.50142
0.78264,0.37565,0,-0.10379,-0.18025,-0.50142
0.77264,0.35679,0,-0.10379,-0.17242,-0.50142
0.76298,0.33928,0,-0.10379,-0.16458,-0.50142
0.75376,0.32316,0,-0.10379,-0.15675,-0.50142
0.74506,0.30847,0,-0.10379,-0.14891,-0.50142
0.73695,0.29523,0,-0.10379,-0.14108,-0.50142
0.72951,0.28345,0,-0.10379,-0.13325,-0.50142
0.7228,0.27313,0,-0.10379,-0.12541,-0.50142
0.71686,0.26424,0,-0.10379,-0.11758,-0.50142
0.71175,0.25675,0,-0.10379,-0.10974,-0.50142
0.70748,0.25061,0,-0.10379,-0.10191,-0.50142
0.70405,0.24576,0,-0.10379,-0.094075,-0.50142
0.70145,0.24213,0,-0.10379,-0.08624,-0.50142
0.69966,0.23964,0,-0.10379,-0.078406,-0.50142
0.69861,0.2382,0,-0.10379,-0.070572,-0.50142
0.69826,0.23772,0,-0.10379,-0.062738,-0.50142
0.69851,0.23807,0,-0.10379,-0.054904,-0.50142
0.69929,0.23914,0,-0.10379,-0.04707,-0.50142
